App_Name,Adam_ID,Categories,Additional_Info,iTunes_URL
PBS KIDS Kart Kingdom,1035753959,14,,https://itunes.apple.com/us/app/pbs-kids-kart-kingdom/id1035753959?mt=8
Peekaboo Barn,300590611,14,,https://itunes.apple.com/us/app/peekaboo-barn/id300590611?mt=8
Peppy Pals - Reggy's Play Date,1050927812,6,,https://itunes.apple.com/us/app/peppy-pals-reggys-play-date/id1050927812?mt=8
Peppy Pals Beach: SEL for kids,957106746,6,,https://itunes.apple.com/us/app/peppy-pals-beach-sel-for-kids/id957106746?mt=8
Photogene ⁴,363448251,8,,https://itunes.apple.com/us/app/photogene/id363448251?mt=8
Pic Collage - Photo Editor,448639966,"a, c",,https://itunes.apple.com/us/app/pic-collage-photo-editor-art/id448639966?mt=8
"PicCollage EDU - Collage Maker
",977081997,"a, c",,https://itunes.apple.com/us/app/pic-collage-for-kids-best/id977081997?mt=8
Pictello,397858008,"5, a, b, c, h",,https://itunes.apple.com/us/app/pictello/id397858008?mt=8
Place in Groups - Create groups of related items,1135861893,14,,https://itunes.apple.com/us/app/place-in-groups-create-groups-of-related-items/id1135861893?mt=8
Plum's Creaturizer,1031711558,9,,https://itunes.apple.com/us/app/plums-creaturizer/id1031711558?mt=8
Pocket Pond 2,498375421,10,,https://itunes.apple.com/us/app/pocket-pond-2/id498375421?mt=8
Podcasts,525463029,a,,https://itunes.apple.com/us/app/podcasts/id525463029?mt=8
PrepositionBuilder,413939528,"a, c",,https://itunes.apple.com/us/app/prepositionbuilder/id413939528?mt=8
Prizmo - Pro Scanner,366791896,"0, b","Multiple Language Support: 40+ Languages; Text Translation: Yes; Pic from Camera Roll: Yes; Recognize from Camera: Yes; Export to PDF: Yes; Other Export: Google Drive, Notability, Google Classroom, Email",https://itunes.apple.com/us/app/prizmo-pro-scanner/id366791896?mt=8
Prizmo Go - Instant Text OCR,1183367390,"0, b","Multiple Language Support: 10 Built-In; 22 Cloud; Text Translation: No; Pic from Camera Roll: Yes; Recognize from Camera: Yes; Export to PDF: No; Other Export: Google Classroom, Notability, Email",https://itunes.apple.com/us/app/prizmo-go-instant-text-ocr/id1183367390?mt=8
Proloquo2Go,308368164,"3, h",,https://itunes.apple.com/us/app/proloquo2go/id308368164?mt=8
Proloquo4Text,751646884,3,,https://itunes.apple.com/us/app/proloquo4text/id751646884?mt=8
Puppet Pals,342076546,8,,https://itunes.apple.com/us/app/puppet-pals-hd/id342076546?mt=8
Puzzle Pop HD - by Duck Duck Moose,479407696,14,,https://itunes.apple.com/us/app/puzzle-pop-hd-by-duck-duck-moose/id479407696?mt=8
Qrafter - QR Code,416098700,a,,https://itunes.apple.com/us/app/qrafter-qr-code-barcode-reader/id416098700?mt=8
Read2Go,425585903,"7, b",,https://itunes.apple.com/us/app/read2go/id425585903?mt=8
Readiris,465616942,"0, f","Multiple Language Support: 120+ Languages; Text Translation: No; Pic from Camera Roll: Yes; Recognize from Camera: Yes; Export to PDF: Yes; Other Export: Google Drive, Google Classroom, Notability, Email",https://itunes.apple.com/us/app/readiris/id465616942?mt=8
"Recordium Highlight - voice recorder, take notes and memos",843264511,"a, b, f",,https://itunes.apple.com/us/app/recordium-highlight-voice/id843264511?mt=8
Remember The Milk,293561396,1,,https://itunes.apple.com/us/app/remember-the-milk/id293561396?mt=8&uo=4
